Price,Close,High,Low,Open,Volume
Ticker,NDX,NDX,NDX,NDX,NDX
Date,,,,,
2020-02-11,9517.8603515625,9517.8603515625,9517.8603515625,9517.8603515625,0
2020-02-12,9613.2001953125,9613.2001953125,9613.2001953125,9613.2001953125,0
2020-02-13,9595.7001953125,9595.7001953125,9595.7001953125,9595.7001953125,0
2020-02-14,9623.580078125,9623.580078125,9623.580078125,9623.580078125,0
2020-02-18,9629.7998046875,9629.7998046875,9629.7998046875,9629.7998046875,0
2020-02-19,9718.73046875,9718.73046875,9718.73046875,9718.73046875,0
2020-02-20,9627.830078125,9627.830078125,9627.830078125,9627.830078125,0
2020-02-21,9446.6904296875,9446.6904296875,9446.6904296875,9446.6904296875,0
2020-02-24,9079.6298828125,9079.6298828125,9079.6298828125,9079.6298828125,0
2020-02-25,8834.8701171875,8834.8701171875,8834.8701171875,8834.8701171875,0
2020-02-26,8873.759765625,8873.759765625,8873.759765625,8873.759765625,0
2020-02-27,8436.669921875,8436.669921875,8436.669921875,8436.669921875,0
2020-02-28,8461.830078125,8461.830078125,8461.830078125,8461.830078125,0
2020-03-02,8877.98046875,8877.98046875,8877.98046875,8877.98046875,0
2020-03-03,8594.490234375,8594.490234375,8594.490234375,8594.490234375,0
2020-03-04,8949.2802734375,8949.2802734375,8949.2802734375,8949.2802734375,0
2020-03-05,8671.66015625,8671.66015625,8671.66015625,8671.66015625,0
2020-03-09,7948.02978515625,7948.02978515625,7948.02978515625,7948.02978515625,0
2020-03-10,8372.26953125,8372.26953125,8372.26953125,8372.26953125,0
2020-03-11,8006.1201171875,8006.1201171875,8006.1201171875,8006.1201171875,0
2020-03-12,7263.64990234375,7263.64990234375,7263.64990234375,7263.64990234375,0
2020-03-13,7995.259765625,7995.259765625,7995.259765625,7995.259765625,0
2020-03-16,7020.3798828125,7020.3798828125,7020.3798828125,7020.3798828125,0
2020-03-17,7473.9501953125,7473.9501953125,7473.9501953125,7473.9501953125,0
2020-03-18,7175.18017578125,7175.18017578125,7175.18017578125,7175.18017578125,0
2020-03-19,7288.52001953125,7288.52001953125,7288.52001953125,7288.52001953125,0
2020-03-20,6994.2900390625,6994.2900390625,6994.2900390625,6994.2900390625,0
2020-03-23,7006.919921875,7006.919921875,7006.919921875,7006.919921875,0
2020-03-24,7553.81982421875,7553.81982421875,7553.81982421875,7553.81982421875,0
2020-03-25,7469.6201171875,7469.6201171875,7469.6201171875,7469.6201171875,0
2020-03-27,7588.3701171875,7588.3701171875,7588.3701171875,7588.3701171875,0
2020-03-30,7889.009765625,7889.009765625,7889.009765625,7889.009765625,0
2020-03-31,7813.5,7813.5,7813.5,7813.5,0
2020-04-01,7486.2900390625,7486.2900390625,7486.2900390625,7486.2900390625,0
2020-04-02,7635.66015625,7635.66015625,7635.66015625,7635.66015625,0
2020-04-03,7528.10986328125,7528.10986328125,7528.10986328125,7528.10986328125,0
2020-04-06,8081.66015625,8081.66015625,8081.66015625,8081.66015625,0
2020-04-07,8049.31005859375,8049.31005859375,8049.31005859375,8049.31005859375,0
2020-04-08,8229.5400390625,8229.5400390625,8229.5400390625,8229.5400390625,0
2020-04-09,8238.5302734375,8238.5302734375,8238.5302734375,8238.5302734375,0
2020-04-13,8332.740234375,8332.740234375,8332.740234375,8332.740234375,0
