Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
1993-01-29,24.241403579711914,24.258644976283545,24.137955200282136,24.258644976283545,1003200
1993-02-01,24.413833618164062,24.413833618164066,24.258660946862175,24.258660946862175,480500
1993-02-02,24.465543746948242,24.482785144937637,24.344853961022494,24.396578154990674,201300
1993-02-03,24.72415542602539,24.74139681753587,24.4827759448787,24.500017336389178,529400
1993-02-04,24.82760238647461,24.879326558113096,24.53449874718984,24.810360995928445,531500
1993-02-05,24.810359954833984,24.86208412430202,24.672428836252557,24.810359954833984,492100
1993-02-08,24.810359954833984,24.896566903947374,24.775877175188626,24.810359954833984,596100
1993-02-09,24.637956619262695,24.724163605334294,24.586232427619738,24.724163605334294,122100
1993-02-10,24.672449111938477,24.689690515930046,24.569000687989046,24.637966303955334,379600
1993-02-11,24.793123245239258,24.896571603703396,24.70691627985247,24.70691627985247,19500
1993-02-12,24.603479385375977,24.75865199537484,24.603479385375973,24.75865199537484,42500
1993-02-16,23.982807159423828,24.53453241399001,23.948324331013442,24.53453241399001,374800
1993-02-17,23.965545654296875,24.017269853550754,23.879338655540412,23.98278705404817,210900
1993-02-18,23.948307037353516,24.24141086718434,23.620720404013188,24.24141086718434,378100
1993-02-19,24.03451919555664,24.03451919555664,23.913829357415395,23.948312168312892,34900
1993-02-22,24.120710372924805,24.15519316116344,24.03450340232822,24.103468978805488,513600
1993-02-23,24.103469848632812,24.20691821708188,23.982780085442233,24.18967682234037,373700
1993-02-24,24.413833618164062,24.413833618164066,24.120729683482715,24.120729683482715,26300
1993-02-25,24.465543746948242,24.482785144937637,24.344853961022494,24.396578154990674,44500
1993-02-26,24.500028610229492,24.51727000967371,24.37933881411999,24.51727000967371,66200
1993-03-01,24.43106460571289,24.586237210830333,24.396581804575682,24.586237210830333,66500
1993-03-02,24.793123245239258,24.793123245239258,24.413812597537405,24.448295383692116,182400
1993-03-03,24.89658546447754,24.913826867153773,24.793137048420153,24.827619853772617,280100
1993-03-04,24.75864601135254,24.931059980790927,24.75864601135254,24.931059980790927,89500
1993-03-05,24.68967056274414,24.89656724343753,24.67242917268636,24.793118903090836,40000
1993-03-08,25.241405487060547,25.241405487060547,24.741404968532706,24.741404968532706,50800
1993-03-09,25.15519142150879,25.20691559852354,25.103467244494034,25.18967420618529,169300
1993-03-10,25.20693588256836,25.20693588256836,25.05176322665652,25.15521166393108,194400
1993-03-11,25.137964248657227,25.2931368674761,25.103481444475257,25.224171259112158,70900
1993-03-12,24.879335403442383,24.948300990146315,24.724162833358545,24.93105959347033,643600
1993-03-15,25.00002098083496,25.00002098083496,24.862089830595874,24.862089830595874,310800
1993-03-16,25.00002098083496,25.068986555954506,25.00002098083496,25.00002098083496,30800
1993-03-17,24.844846725463867,24.96553647360977,24.810363940279323,24.96553647360977,21800
1993-03-18,25.00002098083496,25.10346934351428,24.948296799495303,24.948296799495303,59300
1993-03-19,24.962186813354492,25.100769391083038,24.962186813354492,25.100769391083038,66900
1993-03-22,24.8236083984375,24.875576873800593,24.702348622590282,24.719671447711313,183400
1993-03-23,24.87557601928711,24.910221668339037,24.840930370235174,24.89289884381307,55200
1993-03-24,24.87557601928711,24.979512966442904,24.719670598553414,24.840930370235174,37200
1993-03-25,25.031482696533203,25.083451172719776,24.858254442577955,24.892900093369004,110100
1993-03-26,24.892906188964844,25.03148882606416,24.87558335932743,25.014165996426744,101500
1993-03-29,24.996835708618164,25.11809547990044,24.91022158627368,24.91022158627368,87100
1993-03-30,25.066123962402344,25.066123962402344,24.99683267294166,25.031478317672004,56000
1993-03-31,25.048816680908203,25.204722178922157,25.048816680908203,25.13543084647151,111600
1993-04-01,24.962186813354492,25.083446568866968,24.910218346706287,25.083446568866968,129500
1993-04-02,24.442516326904297,24.754327307686918,24.442516326904297,24.754327307686918,59400
1993-04-05,24.563764572143555,24.63305586853888,24.494473275748227,24.63305586853888,172200
1993-04-06,24.494478225708008,24.615738018904583,24.425186915309965,24.615738018904583,129700
1993-04-07,24.581087112426758,24.58108711242676,24.477150169033834,24.529118640730296,28000
1993-04-08,24.546449661254883,24.68503229872139,24.442512683155,24.68503229872139,180800
1993-04-12,24.892906188964844,24.91022901860226,24.754323551865525,24.788969211140355,348500
1993-04-13,24.944860458374023,25.03147455718782,24.858246359560223,24.875569179322984,146100
1993-04-14,24.910221099853516,24.979512396376055,24.892898275722878,24.96218957224542,119600
1993-04-15,24.910221099853516,24.96218957224542,24.8062841550697,24.892898275722878,148600
1993-04-16,24.910221099853516,24.96218957224542,24.875575451592244,24.92754392398415,47900
1993-04-19,24.806278228759766,24.979506428681272,24.788955408767613,24.91021514871267,157000
1993-04-20,24.685026168823242,24.806285946494654,24.52912074038857,24.771640295731395,279500
1993-04-21,24.66771697998047,24.737008319811874,24.598425640149063,24.737008319811874,67900
1993-04-22,24.355894088745117,24.771641925252858,24.355894088745117,24.563768006998988,97700
1993-04-23,24.251955032348633,24.373214807510376,24.21730938230242,24.303923507417952,106000
1993-04-26,24.061416625976562,24.355904806424082,23.992125289400676,24.269290635704223,62600
1993-04-27,24.321256637573242,24.321256637573242,24.026768487403196,24.026768487403196,156800
1993-04-28,24.26927947998047,24.33857078470561,24.2346338276179,24.286602306161754,85900
1993-04-29,24.373218536376953,24.373218536376953,24.18266743197031,24.32125005335696,85000
1993-04-30,24.407859802246094,24.54644239871023,24.40785980224609,24.45982827592014,88500
1993-05-03,24.563764572143555,24.56376457214355,24.338567858858738,24.44250480345173,80500
1993-05-04,24.65037727355957,24.73699138906751,24.58108598115322,24.615731627356393,149100
1993-05-05,24.719675064086914,24.806289202363324,24.65038375346579,24.65038375346579,109000
1993-05-06,24.633054733276367,24.70234602647827,24.615731909975892,24.685023203177796,54700
1993-05-07,24.581087112426758,24.650378408022043,24.54644146462912,24.650378408022043,68000
1993-05-10,24.633054733276367,24.771637319680174,24.615731909975892,24.615731909975892,113900
1993-05-11,24.737003326416016,24.737003326416012,24.56377501180526,24.63306633764956,42600
1993-05-12,24.702348709106445,24.719671534288146,24.63305740837964,24.63305740837964,31000
1993-05-13,24.407859802246094,24.598410872384278,24.390536977688075,24.598410872384278,129100
1993-05-14,24.39055061340332,24.47716478461569,24.373227779160846,24.407873447645795,63500
1993-05-17,24.477161407470703,24.477161407470703,24.35590158450376,24.459838575618285,34000
1993-05-18,24.459819793701172,24.51178824935351,24.37320570094727,24.49446543080273,105200
1993-05-19,24.962186813354492,24.962186813354492,24.303919569143893,24.45982496908851,50200
1993-05-20,25.031482696533203,25.0314826965332,24.91022291876453,24.962191394951102,98200
1993-05-21,24.806278228759766,25.083443348634177,24.788955408767613,25.048797708649875,221400
1993-05-24,24.910221099853516,24.99683522050669,24.858252627461606,24.858252627461606,30500
1993-05-25,24.962186813354492,25.014155280002697,24.962186813354492,25.014155280002697,191800
1993-05-26,25.273998260498047,25.29132108315774,25.014155920602587,25.031478743262284,102400
1993-05-27,25.1873779296875,25.308637658372376,25.15273229292039,25.308637658372376,53800
1993-05-28,25.066123962402344,25.17006089659337,24.944864205846148,25.17006089659337,79100
1993-06-01,25.308652877807617,25.395267021811065,25.11810176100003,25.15274741860141,28300
1993-06-02,25.273998260498047,25.36061237379653,25.13541567922047,25.23935261517865,20300
1993-06-03,25.1873779296875,25.222023566454606,25.135409474536836,25.222023566454606,21600
1993-06-04,25.10077476501465,25.118097590939435,24.996837809465934,25.118097590939435,32000
1993-06-07,25.014169692993164,25.152752350572076,25.014169692993164,25.152752350572076,121400
1993-06-08,24.78898048400879,24.944886021644063,24.788980484008786,24.944886021644063,104500
1993-06-09,24.87557601928711,24.979512966442904,24.840930370235174,24.875576019287106,43300
1993-06-10,24.892906188964844,24.91022901860226,24.80629204077777,24.858260529690014,17900
1993-06-11,24.996835708618164,25.031481357555958,24.892898761804783,24.979512884149266,647400
1993-06-14,24.962186813354492,25.048800924434833,24.962186813354492,25.031478102218763,64200
1993-06-15,24.910221099853516,25.014158044637327,24.910221099853516,24.99683522050669,142400
1993-06-16,24.962186813354492,24.962186813354492,24.840927057842013,24.910218346706287,330900
1993-06-17,25.048816680908203,25.048816680908203,24.9622025153449,25.01417101468288,37400
1993-06-18,24.84253692626953,25.03443854578425,24.84253692626953,25.03443854578425,58500
1993-06-21,24.894866943359375,24.912312540376444,24.859975749325233,24.912312540376444,29300
1993-06-22,24.912317276000977,24.929762876334312,24.87742607533431,24.929762876334312,137500
1993-06-23,24.68551254272461,24.91230523746342,24.68551254272461,24.91230523746342,227600
1993-06-24,25.016984939575195,25.016984939575195,24.75530099669261,24.75530099669261,243700
1993-06-25,24.999544143676758,25.06932654184473,24.982098544134764,24.999544143676758,44800
1993-06-28,25.278676986694336,25.27867698669434,25.086775367057598,25.121666570627912,439900
1993-06-29,25.156553268432617,25.243781261735087,25.12166207111163,25.243781261735087,207500
1993-06-30,25.156553268432617,25.243781261735087,25.12166207111163,25.191444465753605,437600
1993-07-01,25.086772918701172,25.19144651919645,25.05188171853608,25.19144651919645,605700
1993-07-02,24.94721794128418,25.017000369091967,24.859989906524444,24.99955476214002,285400
1993-07-06,24.68551254272461,24.982087605075364,24.650621358918638,24.91230523746342,246400
1993-07-07,24.75531005859375,24.790201263750333,24.668082045702302,24.668082045702302,343700
1993-07-08,25.034435272216797,25.0867720706953,24.73786008083862,24.772751279824288,248200
1993-07-09,25.104225158691406,25.104225158691406,24.982105925813823,25.034442739904215,378200
1993-07-12,25.086772918701172,25.104218518783718,25.034436118453534,25.069327318618626,373700
1993-07-13,25.06931495666504,25.173988505544646,24.929750224825572,25.10420613962491,389600
1993-07-14,25.156553268432617,25.226335663074593,25.069325275130147,25.08677087379064,617300
1993-07-15,25.05187225341797,25.13910022087416,24.999535472944252,25.13910022087416,443800
1993-07-16,24.98209571838379,25.086769303796014,24.947204523246384,25.06932370622731,216400
1993-07-19,24.96466064453125,24.982106249454052,24.894878224840035,24.982106249454052,188200
1993-07-20,25.034435272216797,25.034435272216797,24.82508807830279,24.94720727475263,68500
1993-07-21,25.016984939575195,25.016984939575195,24.929756958614334,24.999539343383024,142700
1993-07-22,24.84253692626953,25.016992944010187,24.84253692626953,24.982101740462056,632400
1993-07-23,24.96466064453125,24.964660644531246,24.877432619917233,24.894878224840035,286200
1993-07-26,25.104225158691406,25.156561972781798,25.034442739904215,25.034442739904215,121300
1993-07-27,25.086772918701172,25.13910971894881,24.999544918288443,25.121664118866263,92800
1993-07-28,25.034435272216797,25.0867720706953,24.999544073231128,25.034435272216797,30800
1993-07-29,25.173999786376953,25.243782183567188,25.051880591294044,25.08677178988916,331000
